x,Time
1157,86.385
1158,86.419
1159,86.452
1161,86.486
1162,86.52
1164,86.553
1165,86.585
1167,86.62
1168,86.67
1168,86.703
1169,86.735
1170,86.77
1171,86.803
1171,86.836
1173,86.87
1176,86.903
1179,86.936
1183,86.97
1186,87.003
1189,87.036
1191,87.07
1193,87.103
1195,87.137
1198,87.17
1201,87.203
1203,87.236
1207,87.269
1211,87.303
1216,87.337
1220,87.37
1224,87.403
1229,87.437
1233,87.47
1236,87.504
1238,87.537
1240,87.57
1242,87.603
1245,87.637
1247,87.67
1251,87.704
1254,87.737
1257,87.77
1261,87.804
1264,87.837
1269,87.87
1273,87.904
1276,87.937
1280,87.971
1284,88.004
1286,88.038
1289,88.071
1290,88.105
1291,88.137
1292,88.171
1294,88.204
1296,88.237
1299,88.271
1302,88.305
1304,88.338
1306,88.371
1307,88.405
1309,88.438
1310,88.471
1311,88.505
1312,88.538
1313,88.571
1314,88.605
1314,88.638
1314,88.671
1315,88.705
1315,88.738
1315,88.771
1316,88.804
1318,88.839
1319,88.871
1320,88.905
1320,88.938
1321,88.971
1322,89.005
1322,89.038
1322,89.072
1323,89.106
1323,89.138
1324,89.172
1325,89.206
1326,89.239
1329,89.272
1332,89.305
1333,89.338
1334,89.372
1335,89.405
1335,89.455
1336,89.489
1336,89.522
1337,89.589
1341,89.622
1345,89.656
1348,89.689
1349,89.722
1350,89.773
1350,89.806
1351,89.872
1351,89.922
1352,90.022
1352,90.056
1352,90.123
1352,90.19
1352,90.24
1352,90.273
1352,90.306
1352,90.34
1352,90.373
1352,90.407
1352,90.44
1352,90.49
1352,90.523
1352,90.573
1352,90.623
1352,90.673
1353,90.724
1353,90.756
1355,90.79
1358,90.823
1361,90.857
1365,90.89
1369,90.923
1371,90.957
1373,90.99
1374,91.023
1376,91.057
1377,91.09
1379,91.123
1380,91.157
1382,91.19
1383,91.224
1384,91.257
1385,91.29
1385,91.324
1386,91.357
1386,91.39
1387,91.424
1387,91.457
1387,91.491
1388,91.524
1388,91.574
1388,91.625
1389,91.657
1389,91.691
1389,91.74
1390,91.774
1390,91.808
1390,91.841
1390,91.875
1391,91.908
1391,91.941
1391,91.975
1392,92.025
1393,92.058
1396,92.091
1399,92.125
1400,92.158
1401,92.191
1402,92.225
1404,92.258
1406,92.291
1409,92.326
1410,92.358
1411,92.391
1412,92.441
1413,92.558
1413,92.825
1414,92.875
1415,92.909
1416,92.942
1417,92.975
1418,93.042
1416,93.292
1416,94.01
1416,94.043
1416,94.093
1416,94.193
1416,94.293
1416,94.327
1416,94.36
1416,94.394
1416,94.427
1416,94.493
1416,94.577
1418,94.761
1419,94.81
1419,94.844
1420,94.911
1420,94.945
1421,94.994
1422,95.061
1423,95.095
1425,95.127
1426,95.162
1427,95.195
1428,95.228
1429,95.261
1430,95.295
1430,95.328
1431,95.362
1432,95.395
1432,95.428
1433,95.461
1433,95.495
1434,95.528
1434,95.578
1434,95.678
1435,95.712
1435,95.762
1436,95.795
1437,95.828
1439,95.863
1441,95.896
1443,95.928
1445,95.962
1446,95.996
1447,96.029
1448,96.062
1449,96.113
1449,96.195
1450,96.245
1450,96.296
1451,96.363
1452,96.446
1453,96.479
1454,96.53
1455,96.579
1455,96.612
1456,96.646
1456,96.713
1457,96.746
1458,96.814
1459,96.847
1460,96.88
1460,96.93
1461,96.963
1461,97.03
1462,97.062
1462,97.097
1463,97.13
1463,97.163
1464,97.197
1464,97.23
1466,97.263
1467,97.313
1468,97.347
1469,97.413
1470,97.446
1471,97.48
1473,97.513
1475,97.547
1477,97.58
1479,97.614
1480,97.647
1481,97.681
1482,97.747
1483,97.781
1483,97.814
1485,97.847
1486,97.897
1487,97.931
1488,97.963
1489,97.997
1491,98.031
1492,98.081
1492,98.115
1493,98.147
1493,98.214
1494,98.281
1494,98.314
1494,98.415
1495,98.515
1496,98.548
1498,98.581
1500,98.615
1501,98.648
1502,98.682
1503,98.715
1504,98.748
1505,98.781
1506,98.815
1507,98.882
1508,98.931
1508,99.031
1509,99.065
1510,99.148
1511,99.182
1513,99.215
1515,99.248
1516,99.282
1517,99.315
1518,99.348
1519,99.382
1520,99.415
1520,99.449
1522,99.482
1523,99.515
1524,99.549
1526,99.582
1527,99.616
1528,99.665
1528,99.783
1529,99.815
1529,99.866
1530,99.9
1531,99.932
1532,99.966
1534,99.999
1536,100.032
1537,100.067
